Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
53	1	3.31	46.3	22.9	-45.2	46.3	22.9	-45.2	119	46.3	22.9	-45.2	119
52	1	3.2	6.21	40.5	-24.5	6.21	40.5	-24.5	220	6.21	40.5	-24.5	220
51	1	3.53	-52.6	-48	-18.8	-52.6	-48	-18.8	147	-52.6	-48	-18.8	147
50	1	3.17	-33.1	-96.1	-22.3	-33.1	-96.1	-22.3	72.9	-33.1	-96.1	-22.3	72.9
49	1	3.15	-32.4	-63.2	-5.4	-32.4	-63.2	-5.4	124	-32.4	-63.2	-5.4	124
48	1	3.38	55.4	-41.3	-45.6	55.4	-41.3	-45.6	180	55.4	-41.3	-45.6	180
47	1	3.1	-9.65	-96	-39.9	-9.65	-96	-39.9	79.6	-9.65	-96	-39.9	79.6
46	1	3.66	-55.6	4.41	-50.4	-55.6	4.41	-50.4	63.7	-55.6	4.41	-50.4	63.7
45	1	3.09	-59.6	-75.6	-2.48	-59.6	-75.6	-2.48	52.1	-59.6	-75.6	-2.48	52.1
44	1	3.16	9.2	16.6	-26.1	9.2	16.6	-26.1	53.2	9.2	16.6	-26.1	53.2
43	1	3.37	-0.945	16.9	-25.9	-0.945	16.9	-25.9	170	-0.945	16.9	-25.9	170
42	1	3.17	3.91	-98.8	-34.2	3.91	-98.8	-34.2	136	3.91	-98.8	-34.2	136
41	1	3.09	-25.9	-83.1	-2.13	-25.9	-83.1	-2.13	99.6	-25.9	-83.1	-2.13	99.6
40	1	3.1	-13.6	-15.8	87.6	-13.6	-15.8	87.6	102	-13.6	-15.8	87.6	102
39	1	3.23	34.3	50.7	46.4	34.3	50.7	46.4	76.5	34.3	50.7	46.4	76.5
38	1	3.24	10.6	48.1	47.5	10.6	48.1	47.5	156	10.6	48.1	47.5	156
37	1	3.19	30.6	58.8	11.1	30.6	58.8	11.1	100	30.6	58.8	11.1	100
36	1	3.75	37.5	68.5	9.28	37.5	68.5	9.28	133	37.5	68.5	9.28	133
35	1	3.15	20.7	75.5	8.53	20.7	75.5	8.53	116	20.7	75.5	8.53	116
34	1	3.96	18.5	-90.7	43.2	18.5	-90.7	43.2	105	18.5	-90.7	43.2	105
33	1	3.19	9.87	20.9	24	9.87	20.9	24	123	9.87	20.9	24	123
32	1	3.32	67.5	12.9	46.4	67.5	12.9	46.4	36.7	67.5	12.9	46.4	36.7
31	1	3.19	-61.9	-13.2	9.34	-61.9	-13.2	9.34	72.9	-61.9	-13.2	9.34	72.9
30	1	3.35	-11.7	-84.8	54.3	-11.7	-84.8	54.3	71.5	-11.7	-84.8	54.3	71.5
29	1	3.18	19.6	-16.9	41.6	19.6	-16.9	41.6	51.3	19.6	-16.9	41.6	51.3
28	1	3.16	-31.6	-57.2	55.7	-31.6	-57.2	55.7	163	-31.6	-57.2	55.7	163
27	1	3.27	39.6	-46.1	51.8	39.6	-46.1	51.8	94.2	39.6	-46.1	51.8	94.2
26	1	3.13	-68.2	-13.6	49.2	-68.2	-13.6	49.2	50.2	-68.2	-13.6	49.2	50.2
25	1	3.14	-17.3	1.32	45.1	-17.3	1.32	45.1	35.6	-17.3	1.32	45.1	35.6
24	1	3.52	47.5	35.5	37.3	47.5	35.5	37.3	149	47.5	35.5	37.3	149
23	1	4.09	-25	-76.2	64.5	-25	-76.2	64.5	80.7	-25	-76.2	64.5	80.7
22	1	4.22	-35.1	-72.7	64.2	-35.1	-72.7	64.2	62.5	-35.1	-72.7	64.2	62.5
21	1	3.13	9.55	-7.68	34.6	9.55	-7.68	34.6	47.5	9.55	-7.68	34.6	47.5
20	1	3.27	-37.9	26.2	-15.2	-37.9	26.2	-15.2	112	-37.9	26.2	-15.2	112
19	1	3.39	26.7	50.6	-21.2	26.7	50.6	-21.2	143	26.7	50.6	-21.2	143
18	1	3.23	73	-31.8	-2.56	73	-31.8	-2.56	101	73	-31.8	-2.56	101
17	1	3.17	66.2	-31.6	-2.4	66.2	-31.6	-2.4	105	66.2	-31.6	-2.4	105
16	1	3.12	10.7	46.5	59.1	10.7	46.5	59.1	105	10.7	46.5	59.1	105
15	1	3.46	-30.7	47.3	-7.73	-30.7	47.3	-7.73	84.7	-30.7	47.3	-7.73	84.7
14	1	3.32	-40.3	30.7	57.6	-40.3	30.7	57.6	52.1	-40.3	30.7	57.6	52.1
13	1	3.28	76.5	-33.5	8.94	76.5	-33.5	8.94	45	76.5	-33.5	8.94	45
12	1	3.09	6.08	11.1	3.18	6.08	11.1	3.18	177	6.08	11.1	3.18	177
11	1	3.09	-44	47	9.67	-44	47	9.67	161	-44	47	9.67	161
10	1	3.11	-32.2	-72.1	24.4	-32.2	-72.1	24.4	55.6	-32.2	-72.1	24.4	55.6
9	1	3.58	46	-41.6	16.9	46	-41.6	16.9	81	46	-41.6	16.9	81
8	1	3.25	76.5	-39.2	15.6	76.5	-39.2	15.6	34.7	76.5	-39.2	15.6	34.7
7	1	3.75	47.5	25	56.1	47.5	25	56.1	58.6	47.5	25	56.1	58.6
6	1	3.64	-0.602	12.2	8.85	-0.602	12.2	8.85	302	-0.602	12.2	8.85	302
5	1	3.57	-37.2	14.2	60.4	-37.2	14.2	60.4	81	-37.2	14.2	60.4	81
4	1	3.11	30.3	44	2.42	30.3	44	2.42	101	30.3	44	2.42	101
3	1	3.35	44.1	66.6	-1.89	44.1	66.6	-1.89	44.4	44.1	66.6	-1.89	44.4
2	1	3.2	-28.1	-64.6	73.9	-28.1	-64.6	73.9	66.7	-28.1	-64.6	73.9	66.7
1	1	3.38	43.8	49.4	-4.54	43.8	49.4	-4.54	86.2	43.8	49.4	-4.54	86.2
