Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)
128	3	3.41	37	5	11	36.7	4.34	11
127	3	4.33	47	43	7	47.3	43	6.39
126	2	3.59	30	40	9	30	40.5	9
125	2	3.83	12	28	9	12.5	28	9
124	2	3.46	38	23	4	37.5	23	4
123	2	3.71	13	39	15	12.5	39	15
122	2	3.93	29	28	22	29.5	28	22
121	2	3.91	32	20	22	32.5	20	22
120	2	3.44	19	45	21	19	44.5	21
119	2	3.38	13	21	16	13	21.5	16
118	2	3.45	29	26	16	28.5	25.5	16
117	2	3.51	35	51	22	35.5	51	22
116	2	3.27	16	33	21	15.5	33	21
115	2	4.61	38	5	9	37.6	5	9
114	2	3.46	46	49	16	45.5	49	16
113	2	3.17	36	54	16	36	53.5	16
112	2	3.55	42	30	9	42	30	8.5
111	2	3.72	26	45	7	25.5	45.5	7
110	2	3.41	23	44	7	22.5	44.5	7
109	2	3.42	37	40	17	37.5	40	17
108	2	4.17	54	32	20	54	31.6	20
107	2	3.51	44	39	7	44.5	39	7
106	2	3.43	38	22	20	38	21.5	20
105	2	3.18	36	40	19	36	39.5	19
104	2	3.75	25	57	18	24.5	57	18
103	2	3.51	31	58	18	30.5	58	18
102	2	3.37	30	32	19	29.5	32	19
101	2	3.25	32	29	1	32.5	29	0.505
100	2	3.68	54	36	10	54	35.5	10
99	2	3.9	33	57	11	33	56.5	11
98	2	3.58	55	27	12	55	27.5	12
97	2	3.83	31	17	26	31	17.5	26
96	2	3.14	25	28	13	25	28.5	13
95	2	3.53	27	52	22	26.5	52	22
94	2	3.36	48	49	14	48	49.5	14
93	1	3.42	22	38	3	22	38	3
92	1	3.1	25	11	21	25	11	21
91	1	3.42	36	42	25	36	42	25
90	1	3.2	30	47	25	30	47	25
89	1	4.24	27	57	20	27	57	20
88	1	3.59	29	16	26	29	16	26
87	1	3.29	28	34	5	28	34	5
86	1	3.51	21	35	5	21	35	5
85	1	3.3	37	33	3	37	33	3
84	1	3.43	47	44	22	47	44	22
83	1	3.16	27	23	20	27	23	20
82	1	3.44	18	23	2	18	23	2
81	1	3.33	25	30	26	25	30	26
80	1	3.39	13	38	19	13	38	19
79	1	3.3	39	20	4	39	20	4
78	1	3.43	22	50	22	22	50	22
77	1	4.13	42	33	26	42	33	26
76	1	3.21	38	38	27	38	38	27
75	1	3.62	31	25	28	31	25	28
74	1	3.17	30	48	23	30	48	23
73	1	3.35	17	23	24	17	23	24
72	1	3.27	43	15	4	43	15	4
71	1	4.09	40	10	22	40	10	22
70	1	3.24	49	39	4	49	39	4
69	1	4.18	41	51	21	41	51	21
68	1	3.71	38	13	4	38	13	4
67	1	3.28	38	34	21	38	34	21
66	1	3.32	44	37	24	44	37	24
65	1	3.55	19	41	24	19	41	24
64	1	3.27	31	15	25	31	15	25
63	1	3.13	25	44	4	25	44	4
62	1	3.53	42	38	3	42	38	3
61	1	3.29	11	28	21	11	28	21
60	1	3.2	49	27	21	49	27	21
59	1	3.22	43	27	21	43	27	21
58	1	3.51	21	22	25	21	22	25
57	1	3.12	22	48	23	22	48	23
56	1	3.38	23	26	25	23	26	25
55	1	3.58	23	28	25	23	28	25
54	1	3.2	48	33	5	48	33	5
53	1	3.26	46	18	15	46	18	15
52	1	3.12	32	55	14	32	55	14
51	1	3.49	50	49	14	50	49	14
50	1	3.49	52	40	14	52	40	14
49	1	3.12	51	31	14	51	31	14
48	1	3.35	53	23	14	53	23	14
47	1	3.18	51	23	14	51	23	14
46	1	3.33	42	54	13	42	54	13
45	1	3.29	20	54	13	20	54	13
44	1	3.11	45	52	13	45	52	13
43	1	3.12	24	45	9	24	45	9
42	1	3.12	26	36	13	26	36	13
41	1	3.3	39	46	9	39	46	9
40	1	3.11	40	27	13	40	27	13
39	1	3.54	10	23	13	10	23	13
38	1	3.14	12	20	13	12	20	13
37	1	3.54	34	50	9	34	50	9
36	1	3.23	46	50	9	46	50	9
35	1	3.68	44	55	12	44	55	12
34	1	3.67	43	10	10	43	10	10
33	1	3.1	17	13	10	17	13	10
32	1	3.11	54	23	12	54	23	12
31	1	3.38	52	21	10	52	21	10
30	1	3.17	35	38	10	35	38	10
29	1	3.63	41	47	11	41	47	11
28	1	3.4	26	43	11	26	43	11
27	1	3.46	11	23	11	11	23	11
26	1	3.43	17	50	18	17	50	18
25	1	3.54	54	34	7	54	34	7
24	1	3.89	30	36	7	30	36	7
23	1	3.53	44	20	18	44	20	18
22	1	3.88	27	7	18	27	7	18
21	1	3.16	21	43	7	21	43	7
20	1	3.8	22	56	17	22	56	17
19	1	3.15	13	32	17	13	32	17
18	1	3.39	21	25	8	21	25	8
17	1	3.33	18	12	17	18	12	17
16	1	3.56	54	31	8	54	31	8
15	1	3.16	44	43	16	44	43	16
14	1	3.53	38	36	16	38	36	16
13	1	3.73	32	37	8	32	37	8
12	1	3.12	10	27	16	10	27	16
11	1	3.11	51	25	16	51	25	16
10	1	4.23	42	7	16	42	7	16
9	1	3.23	41	56	15	41	56	15
8	1	3.42	30	54	15	30	54	15
7	1	3.19	28	53	15	28	53	15
6	1	3.25	44	51	15	44	51	15
5	1	3.15	40	39	15	40	39	15
4	1	3.83	33	39	15	33	39	15
3	1	3.27	36	14	9	36	14	9
2	1	3.2	11	29	15	11	29	15
1	1	3.88	44	31	9	44	31	9
