Cluster Index	Z	P	-log10(P)	x	y	z	
62	3.63	0.00014	3.86	28.1	-12.5	50
61	3.4	0.000334	3.48	-12.5	31.2	50
60	3.25	0.000569	3.25	-6.25	34.4	50
59	3.11	0.00095	3.02	37.5	53.1	-20
58	3.14	0.000835	3.08	-59.4	9.38	-20
57	3.18	0.000746	3.13	-59.4	-28.1	-20
56	3.53	0.00021	3.68	-68.8	12.5	-25
55	3.43	0.000303	3.52	68.8	9.38	-25
54	3.11	0.000927	3.03	-68.8	-18.8	-25
53	3.35	0.0004	3.4	-25	-65.6	-25
52	3.65	0.000131	3.88	-43.8	56.2	-30
51	3.27	0.000538	3.27	-6.25	56.2	-30
50	3.5	0.000229	3.64	46.9	43.8	-30
49	3.39	0.000348	3.46	-62.5	28.1	-30
48	3.39	0.00035	3.46	62.5	-12.5	-30
47	3.72	9.92e-05	4	-37.5	-40.6	-30
46	3.38	0.000356	3.45	0	15.6	-35
45	3.16	0.000799	3.1	-18.8	15.6	-40
44	3.39	0.000351	3.46	9.38	9.38	-40
43	3.18	0.000731	3.14	-68.8	6.25	-40
42	3.18	0.00074	3.13	21.9	-6.25	-40
41	3.1	0.00098	3.01	-12.5	-37.5	-40
40	3.11	0.000951	3.02	40.6	40.6	-45
39	3.3	0.000485	3.31	15.6	21.9	-45
38	3.54	0.0002	3.7	-31.2	-75	-45
37	3.53	0.000208	3.68	-50	3.12	-50
36	3.23	0.000624	3.21	-46.9	28.1	-55
35	3.67	0.000121	3.92	-53.1	21.9	-55
34	3.42	0.000316	3.5	34.4	-18.8	-55
33	3.21	0.000669	3.17	50	-18.8	-55
32	3.14	0.00084	3.08	-3.12	-15.6	-60
31	3.62	0.000148	3.83	-3.12	-9.38	-75
30	3.2	0.000684	3.16	-18.8	-12.5	-75
29	3.3	0.000484	3.32	59.4	31.2	25
28	3.28	0.000522	3.28	15.6	-9.38	25
27	3.31	0.000462	3.34	-68.8	-15.6	25
26	3.42	0.000313	3.5	-18.8	-31.2	25
25	3.64	0.000137	3.86	59.4	18.8	20
24	3.25	0.000584	3.23	-18.8	-21.9	20
23	3.18	0.000727	3.14	6.25	28.1	15
22	3.2	0.000691	3.16	-28.1	12.5	15
21	4.06	2.45e-05	4.61	15.6	-78.1	15
20	3.34	0.00042	3.38	15.6	81.2	10
19	3.13	0.000877	3.06	-12.5	65.6	5
18	3.28	0.000519	3.28	-37.5	34.4	5
17	3.86	5.76e-05	4.24	3.12	21.9	5
16	3.22	0.000646	3.19	68.8	-15.6	5
15	3.36	0.000396	3.4	37.5	75	0
14	3.31	0.000462	3.34	12.5	65.6	0
13	3.1	0.000973	3.01	46.9	56.2	0
12	3.87	5.48e-05	4.26	-3.12	21.9	0
11	3.11	0.000934	3.03	12.5	-31.2	0
10	3.64	0.000135	3.87	-31.2	-59.4	0
9	3.2	0.000675	3.17	3.12	21.9	-5
8	3.1	0.000967	3.01	-21.9	12.5	-5
7	3.12	0.000911	3.04	-25	6.25	-5
6	3.16	0.000776	3.11	68.8	-18.8	-5
5	3.17	0.000751	3.12	-31.2	68.8	-10
4	3.55	0.000192	3.72	62.5	-37.5	-10
3	3.12	0.000915	3.04	-15.6	-31.2	-15
2	4.05	2.52e-05	4.6	-31.2	-34.4	-15
1	3.46	0.000274	3.56	0	-78.1	-15
