Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)
111	2	3.39	31	31	28	30.5	31	28
110	2	4.12	13	39	15	12.5	39	15
109	2	3.55	38	30	28	38	29.5	28
108	2	3.65	36	31	25	36	30.5	25
107	2	3.69	13	22	16	13	21.5	16
106	2	3.21	19	10	17	19.5	10	17
105	2	3.21	37	12	17	37.5	12	17
104	2	3.68	43	23	25	43.5	23	25
103	2	3.4	18	38	23	18.5	38	23
102	2	3.4	28	56	17	28	55.5	17
101	2	3.94	32	12	18	32	12.5	18
100	2	3.94	36	34	23	35.6	34	23
99	2	3.96	11	21	18	11.5	20.5	18
98	2	3.84	35	51	22	35.5	51	22
97	2	3.59	33	55	18	33	54.5	18
96	2	3.33	21	41	23	21.5	40.5	22.5
95	2	3.29	32	36	19	32.5	36.5	19
94	2	3.53	49	27	21	48.5	27	21
93	2	3.18	39	39	21	38.5	39	21
92	2	3.24	24	8	4	24.5	8	4.49
91	2	3.79	50	48	11	50	47.5	11
90	2	3.31	36	7	5	36.5	7	5
89	2	3.59	28	34	5	28.5	34	5
88	2	3.34	18	37	5	18	36.5	5
87	2	3.77	26	45	7	25.5	45.5	7
86	2	3.79	21	25	8	21	25.5	8
85	2	3.29	51	23	11	50.5	23	11
84	2	3.66	34	37	8	34.5	37	8
83	2	3.32	51	14	11	51	14.5	11
82	2	3.98	38	5	9	37.5	5	9
81	2	3.35	38	8	11	37.5	7.52	10.5
80	2	3.58	22	8	9	22.5	8	9
79	2	3.29	36	12	9	36	11.5	9
78	2	4.45	34	48	9	33.5	48	9
77	2	3.21	34	33	9	33.5	33	9
76	2	3.28	24	42	9	24.5	41.5	9
75	2	3.85	28	17	0	28.5	17	0
74	2	3.51	48	43	13	48	43.5	13
73	2	4.16	34	7	15	33.5	7	15
72	2	3.32	10	32	13	10.5	31.5	12.5
71	2	3.34	34	25	0	34.5	25	0
70	1	3.13	31	27	27	31	27	27
69	1	3.23	38	34	21	38	34	21
68	1	3.15	42	41	8	42	41	8
67	1	3.38	28	29	27	28	29	27
66	1	3.23	50	31	21	50	31	21
65	1	3.36	31	25	28	31	25	28
64	1	3.56	40	28	28	40	28	28
63	1	3.15	41	17	9	41	17	9
62	1	3.53	12	24	21	12	24	21
61	1	3.12	34	19	0	34	19	0
60	1	3.17	40	25	9	40	25	9
59	1	3.4	28	52	20	28	52	20
58	1	3.49	41	42	20	41	42	20
57	1	3.21	31	17	26	31	17	26
56	1	3.32	36	40	21	36	40	21
55	1	3.5	27	45	25	27	45	25
54	1	3.17	31	14	1	31	14	1
53	1	3.09	17	45	5	17	45	5
52	1	3.33	15	39	5	15	39	5
51	1	3.39	24	39	22	24	39	22
50	1	3.35	26	30	2	26	30	2
49	1	3.65	23	26	25	23	26	25
48	1	3.1	45	23	23	45	23	23
47	1	3.19	43	15	4	43	15	4
46	1	3.27	39	8	3	39	8	3
45	1	3.1	24	19	25	24	19	25
44	1	3.64	37	33	3	37	33	3
43	1	3.11	27	17	25	27	17	25
42	1	3.37	30	15	17	30	15	17
41	1	3.46	41	47	11	41	47	11
40	1	3.16	35	12	17	35	12	17
39	1	3.11	47	11	17	47	11	17
38	1	3.27	39	7	17	39	7	17
37	1	3.33	45	40	16	45	40	16
36	1	3.17	55	26	16	55	26	16
35	1	3.09	30	57	11	30	57	11
34	1	3.38	45	13	12	45	13	12
33	1	3.12	44	51	15	44	51	15
32	1	3.35	17	13	13	17	13	13
31	1	3.35	40	27	13	40	27	13
30	1	3.19	11	39	13	11	39	13
29	1	3.34	33	39	15	33	39	15
28	1	3.6	11	29	15	11	29	15
27	1	3.22	16	51	13	16	51	13
26	1	3.46	45	52	13	45	52	13
25	1	3.16	12	37	14	12	37	14
24	1	3.25	24	52	14	24	52	14
23	1	3.17	29	4	15	29	4	15
22	1	3.12	39	9	15	39	9	15
21	1	3.31	49	44	9	49	44	9
20	1	3.19	43	45	9	43	45	9
19	1	3.33	23	52	19	23	52	19
18	1	3.27	33	46	9	33	46	9
17	1	3.26	39	46	9	39	46	9
16	1	3.25	54	21	19	54	21	19
15	1	3.47	45	11	19	45	11	19
14	1	3.38	34	50	9	34	50	9
13	1	3.27	21	51	18	21	51	18
12	1	3.26	41	42	18	41	42	18
11	1	3.37	31	35	10	31	35	10
10	1	3.16	36	4	11	36	4	11
9	1	3.16	48	11	11	48	11	11
8	1	3.82	11	23	11	11	23	11
7	1	3.3	54	25	11	54	25	11
6	1	3.25	13	38	11	13	38	11
5	1	3.12	32	44	17	32	44	17
4	1	3.71	15	40	11	15	40	11
3	1	3.27	32	40	11	32	40	11
2	1	3.13	36	18	17	36	18	17
1	1	3.37	26	43	11	26	43	11
