Cluster Index	Z	P	-log10(P)	x	y	z	
86	3.79	7.43e-05	4.13	41.4	-31.9	-30.2
85	3.29	0.000495	3.31	-60.4	-36.3	-12.4
84	3.66	0.000125	3.9	-4.85	1.25	-48.4
83	3.32	0.000454	3.34	-58.7	-62.9	1.2
82	3.98	3.39e-05	4.47	-12.5	-91.8	4.83
81	3.35	0.000411	3.39	-13.5	-78.3	10.4
80	3.58	0.000174	3.76	41.1	-80	0.491
79	3.29	0.000494	3.31	-7.07	-70.8	-5.7
78	4.45	4.34e-06	5.36	-7.17	36.1	-59.9
77	3.21	0.000669	3.17	-4.3	-8.26	-37.3
76	3.28	0.000527	3.28	27.8	20.2	-50.8
75	3.85	5.86e-05	4.23	21	-75.5	-58.5
74	3.51	0.000227	3.64	-54.5	28.1	-32.4
73	4.16	1.61e-05	4.79	-0.661	-71.2	32.1
72	3.32	0.000445	3.35	76.2	2.51	-15.4
71	3.34	0.000423	3.37	-0.805	-52.9	-70.7
70	3.13	0.000862	3.06	3.05	16.5	62.5
69	3.23	0.000618	3.21	-20.7	21.9	21.6
68	3.15	0.000821	3.09	-32.7	11.6	-54.5
67	3.38	0.000364	3.44	12.8	22.9	59.6
66	3.23	0.000609	3.22	-60.7	10.8	26
65	3.36	0.000384	3.42	3.21	12.9	70.6
64	3.56	0.000184	3.74	-27.8	20.1	66
63	3.15	0.000811	3.09	-24.9	-56.9	-13.3
62	3.53	0.000208	3.68	69.2	-2.9	37
61	3.12	0.000904	3.04	0.34	-70.6	-61.6
60	3.17	0.000763	3.12	-23.1	-33	-25.3
59	3.4	0.000333	3.48	9.97	74.7	-10.4
58	3.49	0.000242	3.62	-32.1	42.7	4.52
57	3.21	0.000675	3.17	5.17	-15.5	72.6
56	3.32	0.000457	3.34	-15	40	12.6
55	3.5	0.000232	3.63	13.6	65.8	25.4
54	3.17	0.000769	3.11	11.2	-82.6	-49
53	3.09	0.000995	3	51.8	21.1	-75.4
52	3.33	0.000435	3.36	59.7	3.68	-66.3
51	3.39	0.000347	3.46	25.5	41.6	19.3
50	3.35	0.000403	3.39	24.9	-32	-68
49	3.65	0.000132	3.88	30.8	10.3	54
48	3.1	0.000966	3.02	-42.7	-7.27	48.2
47	3.19	0.000705	3.15	-30.2	-74.8	-35.5
46	3.27	0.000537	3.27	-15.1	-97.1	-30
45	3.1	0.000978	3.01	28.7	-10.6	64.6
44	3.64	0.000138	3.86	-13.1	-22.8	-67.6
43	3.11	0.00095	3.02	18.9	-17.1	67.6
42	3.37	0.00037	3.43	10.9	-42.2	30.2
41	3.46	0.00027	3.57	-31.1	36.5	-48.4
40	3.16	0.000789	3.1	-5.44	-52	34.7
39	3.11	0.000928	3.03	-45.9	-57.1	36
38	3.27	0.000537	3.27	-18	-67.5	42.1
37	3.33	0.000427	3.37	-44.4	26.7	-12.7
36	3.17	0.00077	3.11	-75.6	-16.5	8.29
35	3.09	0.00099	3	4.22	68.2	-63.3
34	3.38	0.000361	3.44	-38.4	-62.5	7.82
33	3.12	0.000901	3.05	-42.9	57.1	-34.3
32	3.35	0.000406	3.39	56.2	-55	13.2
31	3.35	0.000397	3.4	-24.3	-17.8	-8.17
30	3.19	0.000708	3.15	71.5	23	-25.9
29	3.34	0.000417	3.38	-3.38	23.7	-16.1
28	3.6	0.000158	3.8	73	-1.89	-0.763
27	3.22	0.000637	3.2	52.3	57.6	-44.1
26	3.46	0.000269	3.57	-46	55.3	-45.9
25	3.16	0.000783	3.11	68.3	19.3	-17.9
24	3.25	0.000584	3.23	24.8	61.4	-40.6
23	3.17	0.000755	3.12	16.8	-79.2	36.7
22	3.12	0.000911	3.04	-18	-66.2	29
21	3.31	0.000462	3.33	-57.2	21.5	-54.1
20	3.19	0.000709	3.15	-37.1	25.6	-55.5
19	3.33	0.000429	3.37	27.1	73.3	-15.4
18	3.27	0.000537	3.27	-3.4	30.4	-56.9
17	3.26	0.000558	3.25	-23.7	29.3	-57
16	3.25	0.000567	3.25	-71.9	-24.2	31
15	3.47	0.000265	3.58	-39.5	-52.1	46.1
14	3.38	0.000361	3.44	-7.55	42	-62.9
13	3.27	0.00053	3.28	34.3	68.4	-18.9
12	3.26	0.000549	3.26	-31.7	38	-5.57
11	3.37	0.00038	3.42	5.25	0.541	-35.3
10	3.16	0.00078	3.11	-5.98	-89.8	16.4
9	3.16	0.000802	3.1	-47.9	-71.3	5.76
8	3.82	6.8e-05	4.17	75	-29	-11.9
7	3.3	0.000481	3.32	-70.9	-31	-15.4
6	3.25	0.000569	3.25	65.4	15.1	-34.5
5	3.12	0.000894	3.05	-1.39	43.3	-13.5
4	3.71	0.000103	3.99	58.2	20.6	-37.6
3	3.27	0.000533	3.27	0.69	17.5	-37.8
2	3.13	0.000883	3.05	-9.97	-34.4	25.6
1	3.37	0.000378	3.42	20.4	27.5	-42.2
