Cluster Index	Z	P	-log10(P)	x	y	z	
30	3.19	0.000708	3.15	11	39	13
29	3.34	0.000417	3.38	33	39	15
28	3.6	0.000158	3.8	11	29	15
27	3.22	0.000637	3.2	16	51	13
26	3.46	0.000269	3.57	45	52	13
25	3.16	0.000783	3.11	12	37	14
24	3.25	0.000584	3.23	24	52	14
23	3.17	0.000755	3.12	29	4	15
22	3.12	0.000911	3.04	39	9	15
21	3.31	0.000462	3.33	49	44	9
20	3.19	0.000709	3.15	43	45	9
19	3.33	0.000429	3.37	23	52	19
18	3.27	0.000537	3.27	33	46	9
17	3.26	0.000558	3.25	39	46	9
16	3.25	0.000567	3.25	54	21	19
15	3.47	0.000265	3.58	45	11	19
14	3.38	0.000361	3.44	34	50	9
13	3.27	0.00053	3.28	21	51	18
12	3.26	0.000549	3.26	41	42	18
11	3.37	0.00038	3.42	31	35	10
10	3.16	0.00078	3.11	36	4	11
9	3.16	0.000802	3.1	48	11	11
8	3.82	6.8e-05	4.17	11	23	11
7	3.3	0.000481	3.32	54	25	11
6	3.25	0.000569	3.25	13	38	11
5	3.12	0.000894	3.05	32	44	17
4	3.71	0.000103	3.99	15	40	11
3	3.27	0.000533	3.27	32	40	11
2	3.13	0.000883	3.05	36	18	17
1	3.37	0.000378	3.42	26	43	11
