Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
36	1	3.1	52.8	6.27	-67.8	52.8	6.27	-67.8	96.1	52.8	6.27	-67.8	96.1
35	1	3.84	-55.1	-4.9	-71.7	-55.1	-4.9	-71.7	83.3	-55.1	-4.9	-71.7	83.3
34	1	3.31	-53.7	2.75	55.3	-53.7	2.75	55.3	162	-53.7	2.75	55.3	162
33	1	3.34	-28.3	-22.6	68.9	-28.3	-22.6	68.9	200	-28.3	-22.6	68.9	200
32	1	3.84	-42.2	36.7	32.2	-42.2	36.7	32.2	107	-42.2	36.7	32.2	107
31	1	3.46	42.9	-63.5	35.8	42.9	-63.5	35.8	85.2	42.9	-63.5	35.8	85.2
30	1	3.25	67.5	-23.6	16.3	67.5	-23.6	16.3	91.7	67.5	-23.6	16.3	91.7
29	1	3.46	-33.7	72.5	-41.8	-33.7	72.5	-41.8	67.2	-33.7	72.5	-41.8	67.2
28	1	3.41	76.5	-5.3	7.3	76.5	-5.3	7.3	53.6	76.5	-5.3	7.3	53.6
27	1	3.09	-44	21.4	-16.2	-44	21.4	-16.2	62.9	-44	21.4	-16.2	62.9
26	1	4.03	-3.38	23.7	-16.1	-3.38	23.7	-16.1	417	-3.38	23.7	-16.1	417
25	1	3.09	18.2	56.9	-26	18.2	56.9	-26	96.9	18.2	56.9	-26	96.9
24	1	3.1	-56.7	58.7	-29.3	-56.7	58.7	-29.3	64.4	-56.7	58.7	-29.3	64.4
23	1	3.82	-28.9	-54.9	23	-28.9	-54.9	23	86.5	-28.9	-54.9	23	86.5
22	1	3.16	56	51.3	-34.5	56	51.3	-34.5	76.7	56	51.3	-34.5	76.7
21	1	3.4	3.61	21.7	-21.1	3.61	21.7	-21.1	242	3.61	21.7	-21.1	242
20	1	3.53	12.9	85.6	-34.6	12.9	85.6	-34.6	159	12.9	85.6	-34.6	159
19	1	4.22	22.4	-62.9	47.3	22.4	-62.9	47.3	137	22.4	-62.9	47.3	137
18	1	3.2	-44	-33.9	30.5	-44	-33.9	30.5	90.5	-44	-33.9	30.5	90.5
17	1	3.36	77.2	-12.9	-1.27	77.2	-12.9	-1.27	57.7	77.2	-12.9	-1.27	57.7
16	1	3.17	-19.6	-45.1	43.2	-19.6	-45.1	43.2	240	-19.6	-45.1	43.2	240
15	1	3.62	-74.7	-26.5	-5.33	-74.7	-26.5	-5.33	74.1	-74.7	-26.5	-5.33	74.1
14	1	3.81	63.6	33.7	5.83	63.6	33.7	5.83	85.1	63.6	33.7	5.83	85.1
13	1	3.09	-62.4	-57.2	-1.82	-62.4	-57.2	-1.82	54.1	-62.4	-57.2	-1.82	54.1
12	1	3.26	20.7	-82.4	13.5	20.7	-82.4	13.5	148	20.7	-82.4	13.5	148
11	1	3.54	34.9	-48.7	52.9	34.9	-48.7	52.9	126	34.9	-48.7	52.9	126
10	1	3.1	-58.2	-27	39.1	-58.2	-27	39.1	126	-58.2	-27	39.1	126
9	1	3.5	-73.3	-4.08	27	-73.3	-4.08	27	76.2	-73.3	-4.08	27	76.2
8	1	3.09	-58	32.7	-53.5	-58	32.7	-53.5	61.4	-58	32.7	-53.5	61.4
7	1	3.1	9.44	30.1	12.2	9.44	30.1	12.2	80.7	9.44	30.1	12.2	80.7
6	1	3.42	-20	-40.4	53.3	-20	-40.4	53.3	161	-20	-40.4	53.3	161
5	1	3.31	-70.9	-30.3	-22	-70.9	-30.3	-22	92	-70.9	-30.3	-22	92
4	1	3.78	39.5	-16.4	42.9	39.5	-16.4	42.9	135	39.5	-16.4	42.9	135
3	1	3.35	-70.5	4.35	29	-70.5	4.35	29	66.4	-70.5	4.35	29	66.4
2	1	3.55	-54.9	-68.1	-2.32	-54.9	-68.1	-2.32	74.1	-54.9	-68.1	-2.32	74.1
1	1	3.46	-7.55	42	-62.9	-7.55	42	-62.9	148	-7.55	42	-62.9	148
