Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)
31	1	3.35	-24.3	-17.8	-8.17	-24.3	-17.8	-8.17
30	1	3.19	71.5	23	-25.9	71.5	23	-25.9
29	1	3.34	-3.38	23.7	-16.1	-3.38	23.7	-16.1
28	1	3.6	73	-1.89	-0.763	73	-1.89	-0.763
27	1	3.22	52.3	57.6	-44.1	52.3	57.6	-44.1
26	1	3.46	-46	55.3	-45.9	-46	55.3	-45.9
25	1	3.16	68.3	19.3	-17.9	68.3	19.3	-17.9
24	1	3.25	24.8	61.4	-40.6	24.8	61.4	-40.6
23	1	3.17	16.8	-79.2	36.7	16.8	-79.2	36.7
22	1	3.12	-18	-66.2	29	-18	-66.2	29
21	1	3.31	-57.2	21.5	-54.1	-57.2	21.5	-54.1
20	1	3.19	-37.1	25.6	-55.5	-37.1	25.6	-55.5
19	1	3.33	27.1	73.3	-15.4	27.1	73.3	-15.4
18	1	3.27	-3.4	30.4	-56.9	-3.4	30.4	-56.9
17	1	3.26	-23.7	29.3	-57	-23.7	29.3	-57
16	1	3.25	-71.9	-24.2	31	-71.9	-24.2	31
15	1	3.47	-39.5	-52.1	46.1	-39.5	-52.1	46.1
14	1	3.38	-7.55	42	-62.9	-7.55	42	-62.9
13	1	3.27	34.3	68.4	-18.9	34.3	68.4	-18.9
12	1	3.26	-31.7	38	-5.57	-31.7	38	-5.57
11	1	3.37	5.25	0.541	-35.3	5.25	0.541	-35.3
10	1	3.16	-5.98	-89.8	16.4	-5.98	-89.8	16.4
9	1	3.16	-47.9	-71.3	5.76	-47.9	-71.3	5.76
8	1	3.82	75	-29	-11.9	75	-29	-11.9
7	1	3.3	-70.9	-31	-15.4	-70.9	-31	-15.4
6	1	3.25	65.4	15.1	-34.5	65.4	15.1	-34.5
5	1	3.12	-1.39	43.3	-13.5	-1.39	43.3	-13.5
4	1	3.71	58.2	20.6	-37.6	58.2	20.6	-37.6
3	1	3.27	0.69	17.5	-37.8	0.69	17.5	-37.8
2	1	3.13	-9.97	-34.4	25.6	-9.97	-34.4	25.6
1	1	3.37	20.4	27.5	-42.2	20.4	27.5	-42.2
