Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)
27	1	3.22	50	59.4	-10	50	59.4	-10
26	1	3.46	-40.6	62.5	-10	-40.6	62.5	-10
25	1	3.16	62.5	15.6	-5	62.5	15.6	-5
24	1	3.25	25	62.5	-5	25	62.5	-5
23	1	3.17	9.38	-87.5	0	9.38	-87.5	0
22	1	3.12	-21.9	-71.9	0	-21.9	-71.9	0
21	1	3.31	-53.1	37.5	-30	-53.1	37.5	-30
20	1	3.19	-34.4	40.6	-30	-34.4	40.6	-30
19	1	3.33	28.1	62.5	20	28.1	62.5	20
18	1	3.27	-3.12	43.8	-30	-3.12	43.8	-30
17	1	3.26	-21.9	43.8	-30	-21.9	43.8	-30
16	1	3.25	-68.8	-34.4	20	-68.8	-34.4	20
15	1	3.47	-40.6	-65.6	20	-40.6	-65.6	20
14	1	3.38	-6.25	56.2	-30	-6.25	56.2	-30
13	1	3.27	34.4	59.4	15	34.4	59.4	15
12	1	3.26	-28.1	31.2	15	-28.1	31.2	15
11	1	3.37	3.12	9.38	-25	3.12	9.38	-25
10	1	3.16	-12.5	-87.5	-20	-12.5	-87.5	-20
9	1	3.16	-50	-65.6	-20	-50	-65.6	-20
8	1	3.82	65.6	-28.1	-20	65.6	-28.1	-20
7	1	3.3	-68.8	-21.9	-20	-68.8	-21.9	-20
6	1	3.25	59.4	18.8	-20	59.4	18.8	-20
5	1	3.12	0	37.5	10	0	37.5	10
4	1	3.71	53.1	25	-20	53.1	25	-20
3	1	3.27	0	25	-20	0	25	-20
2	1	3.13	-12.5	-43.8	10	-12.5	-43.8	10
1	1	3.37	18.8	34.4	-20	18.8	34.4	-20
