Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
74	3	0.000103	3.99	3.71	-31.5	19.4	-36.8	-34.8	20.5	-36.9	581	-34.9	19.5	-36.7	540
73	3	7.55e-05	4.12	3.79	-34.5	-21.1	49.5	-33.4	-20.1	49.3	247	-34.5	-21.1	49.5	207
72	3	3.68e-05	4.43	3.96	38.8	-40.7	-22.6	39.8	-39.7	-22.9	299	38.8	-40.7	-22.6	256
71	3	5.57e-05	4.25	3.86	66.3	-44.6	22.5	67.3	-45.7	22.6	401	69.7	-44.7	22.4	318
70	2	0.000859	3.07	3.14	5.89	-58.2	77.4	5.91	-56.6	77.2	960	5.89	-58.2	77.4	872
69	2	0.000751	3.12	3.17	52.7	5.46	-48	51.1	5.51	-48	292	49.4	5.56	-48	271
68	2	0.000353	3.45	3.39	-36.3	-74.7	-37.2	-34.7	-74.8	-37.2	414	-36.3	-74.7	-37.2	388
67	2	0.000235	3.63	3.5	-13	-101	-27.7	-14.6	-101	-27.7	411	-16.3	-101	-27.6	389
66	2	0.000934	3.03	3.11	66.9	14.3	-10.4	66.9	15.9	-10.7	210	66.9	14.3	-10.4	206
65	2	0.00021	3.68	3.53	-41	17.4	14.7	-39.4	17.4	14.7	178	-41	17.4	14.7	170
64	2	0.000449	3.35	3.32	3.16	30.1	16.9	4.86	32.1	19.3	369	6.66	34.1	21.8	348
63	2	0.000338	3.47	3.4	57.2	48.1	-10.4	57.2	46.6	-10.1	295	57.2	48.1	-10.4	279
62	2	0.000247	3.61	3.48	-12.4	-81	-8.53	-12.4	-82.7	-8.24	346	-12.4	-81	-8.53	329
61	2	6.62e-05	4.18	3.82	-10.3	-5.32	68.7	-10.3	-6.86	69	266	-10.4	-8.59	69.3	250
60	2	0.000104	3.98	3.71	-54.7	-20.5	50	-53.1	-20.6	50	228	-54.7	-20.5	50	207
59	2	0.000622	3.21	3.23	-25.8	-98.5	28.8	-25.8	-96.9	28.5	660	-25.7	-95.2	28.2	453
58	2	0.000699	3.16	3.2	8.74	-21.8	-13.8	8.68	-23.9	-16.2	226	8.74	-21.8	-13.8	208
57	2	0.00038	3.42	3.37	-25.4	-38.1	-15.6	-25.4	-39.6	-15.4	454	-25.4	-41.3	-15.1	412
56	2	6.54e-05	4.18	3.82	33.4	-22.9	70.5	31.9	-22.9	70.6	347	33.4	-22.9	70.5	343
55	1	0.00018	3.74	3.57	-3.97	43.2	-30.4	-3.97	43.2	-30.4	369	-3.97	43.2	-30.4	369
54	1	0.000867	3.06	3.13	39.1	-12.1	-33.3	39.1	-12.1	-33.3	454	39.1	-12.1	-33.3	454
53	1	0.000636	3.2	3.22	56.2	3.78	-36.5	56.2	3.78	-36.5	364	56.2	3.78	-36.5	364
52	1	0.000475	3.32	3.31	62.4	-39	-29.3	62.4	-39	-29.3	216	62.4	-39	-29.3	216
51	1	0.000385	3.41	3.36	3.94	-81.7	-54.1	3.94	-81.7	-54.1	276	3.94	-81.7	-54.1	276
50	1	0.000707	3.15	3.19	24.8	-68.2	-28.8	24.8	-68.2	-28.8	314	24.8	-68.2	-28.8	314
49	1	0.000688	3.16	3.2	-44.9	29.6	-38.2	-44.9	29.6	-38.2	240	-44.9	29.6	-38.2	240
48	1	0.000229	3.64	3.5	59.5	2	-47.6	59.5	2	-47.6	194	59.5	2	-47.6	194
47	1	0.000417	3.38	3.34	-31.5	13.7	-30.1	-31.5	13.7	-30.1	430	-31.5	13.7	-30.1	430
46	1	0.000406	3.39	3.35	-29.1	-64.2	-11	-29.1	-64.2	-11	315	-29.1	-64.2	-11	315
45	1	0.000609	3.22	3.23	28.8	-13.5	-44.1	28.8	-13.5	-44.1	260	28.8	-13.5	-44.1	260
44	1	0.000884	3.05	3.13	25.2	-49.3	-15.1	25.2	-49.3	-15.1	204	25.2	-49.3	-15.1	204
43	1	0.000566	3.25	3.26	39.6	15.8	-26.8	39.6	15.8	-26.8	331	39.6	15.8	-26.8	331
42	1	0.000825	3.08	3.15	-61.7	-13.9	26.4	-61.7	-13.9	26.4	256	-61.7	-13.9	26.4	256
41	1	0.000975	3.01	3.1	-26.9	51.5	19.7	-26.9	51.5	19.7	332	-26.9	51.5	19.7	332
40	1	0.000714	3.15	3.19	-18	-46.2	42.1	-18	-46.2	42.1	200	-18	-46.2	42.1	200
39	1	0.000781	3.11	3.16	12.9	-7.78	34.5	12.9	-7.78	34.5	183	12.9	-7.78	34.5	183
38	1	0.000215	3.67	3.52	34.1	57.1	22.6	34.1	57.1	22.6	338	34.1	57.1	22.6	338
37	1	0.000167	3.78	3.59	17.3	58.5	28.5	17.3	58.5	28.5	299	17.3	58.5	28.5	299
36	1	0.000779	3.11	3.16	27.6	71.3	26	27.6	71.3	26	172	27.6	71.3	26	172
35	1	0.000777	3.11	3.16	-8	-64.5	56.3	-8	-64.5	56.3	315	-8	-64.5	56.3	315
34	1	0.000704	3.15	3.19	56.5	-46.6	51.4	56.5	-46.6	51.4	245	56.5	-46.6	51.4	245
33	1	0.000716	3.15	3.19	-47.4	55.2	-2.97	-47.4	55.2	-2.97	357	-47.4	55.2	-2.97	357
32	1	0.000744	3.13	3.18	16.6	0.364	44.3	16.6	0.364	44.3	148	16.6	0.364	44.3	148
31	1	0.000481	3.32	3.3	-41.2	-32.3	63	-41.2	-32.3	63	314	-41.2	-32.3	63	314
30	1	0.000843	3.07	3.14	-44.5	-25.7	61.9	-44.5	-25.7	61.9	278	-44.5	-25.7	61.9	278
29	1	0.000771	3.11	3.17	23.3	-16.9	64.1	23.3	-16.9	64.1	167	23.3	-16.9	64.1	167
28	1	0.000718	3.14	3.19	40.9	35	54.6	40.9	35	54.6	212	40.9	35	54.6	212
27	1	0.000636	3.2	3.22	43.2	-49.4	74.8	43.2	-49.4	74.8	312	43.2	-49.4	74.8	312
26	1	0.000713	3.15	3.19	12.8	-45.3	75	12.8	-45.3	75	243	12.8	-45.3	75	243
25	1	0.000769	3.11	3.17	-44.6	-40.4	75.8	-44.6	-40.4	75.8	493	-44.6	-40.4	75.8	493
24	1	0.000957	3.02	3.1	-27.5	-24.5	72.5	-27.5	-24.5	72.5	272	-27.5	-24.5	72.5	272
23	1	0.000116	3.93	3.68	20.7	39.7	60	20.7	39.7	60	275	20.7	39.7	60	275
