Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
97	3	5e-05	4.3	3.89	-36.8	68.1	17.1	-34.7	67	17.2	131	-33.5	64.8	17.6	92.7
96	3	0.000105	3.98	3.71	20.2	64.7	-17.8	19.1	63.7	-17.6	248	16.8	64.8	-17.8	196
95	3	9.83e-06	5.01	4.27	13	-18.3	53.3	11.9	-19.3	53.5	106	9.61	-18.2	53.4	89.3
94	3	0.000141	3.85	3.63	-40.9	-20	77.8	-39.8	-23.2	78.3	241	-37.6	-26.6	78.8	230
93	3	2e-05	4.7	4.11	-32.5	-58.4	-17.6	-32.5	-58.2	-17.6	185	-32.5	-58.4	-17.6	156
92	3	1e-06	6	4.75	-18	-68.2	74.2	-14.9	-68.3	74.1	121	-18	-68.2	74.2	105
91	3	7.63e-05	4.12	3.79	-3.51	-7.94	74.6	-4.67	-6.95	74.5	224	-3.51	-7.94	74.6	187
90	3	2.08e-05	4.68	4.1	37.5	68.5	9.28	36.5	68.4	9.31	306	37.5	65.2	9.85	190
89	3	0.000218	3.66	3.52	66.9	-11	22.3	68	-8.91	21.9	91.6	70.3	-7.82	21.6	77.7
88	2	3.39e-05	4.47	3.98	-39.9	-90.2	-28.8	-38.3	-88.7	-29.1	152	-36.4	-87	-29.4	123
87	2	6.29e-06	5.2	4.37	27.6	-99.5	-34.7	25.9	-99.4	-34.7	159	24.2	-99.4	-34.6	142
86	2	0.000279	3.55	3.45	-62.2	-39.4	13.9	-62.3	-41	14.2	120	-62.3	-42.6	14.5	118
85	2	3.65e-06	5.44	4.48	14.1	-73	-61.6	12.6	-73	-61.5	182	14.1	-73	-61.6	153
84	2	4.39e-05	4.36	3.92	11.4	-97.1	21.9	13	-97.2	21.8	107	11.4	-97.1	21.9	96.2
83	2	0.000378	3.42	3.37	-22.5	-103	23.8	-24.2	-101	23.6	199	-25.9	-99.3	23.3	145
82	2	0.000411	3.39	3.35	35.3	-56.2	-14.2	35.3	-54.6	-14.5	122	35.3	-56.2	-14.2	107
81	2	0.000184	3.74	3.56	69.4	-30.9	-19.6	67.8	-30.9	-19.5	101	66	-30.8	-19.5	94.5
80	2	0.000183	3.74	3.56	-32.4	-63.2	-5.4	-32.4	-64.8	-5.13	201	-32.4	-66.5	-4.83	185
79	2	0.000158	3.8	3.6	-72.4	-19.5	-11.9	-72.4	-17.9	-12.2	63.6	-72.4	-19.5	-11.9	63.4
78	2	2.34e-05	4.63	4.07	79.8	-28.7	-3.29	79.8	-27.1	-3.57	52	79.8	-28.7	-3.29	49.3
77	2	0.000119	3.93	3.68	59	-67.4	4.04	60.6	-67.5	4	76.8	59	-67.4	4.04	66.8
76	2	0.000253	3.6	3.48	6.21	40.5	-24.5	6.18	38.9	-24.3	287	6.21	40.5	-24.5	217
75	2	2.06e-05	4.69	4.1	11.3	-104	23	9.67	-104	23	86.5	11.3	-104	23	78
74	2	0.000512	3.29	3.28	-10.4	15.8	31.1	-10.4	17.4	30.8	135	-10.4	19.1	30.5	118
73	2	0.000741	3.13	3.18	-27.5	5.63	27.7	-25.8	6	30.4	59.3	-27.5	5.63	27.7	57.2
72	2	0.000113	3.95	3.69	-11.7	-84.8	54.3	-11.7	-83.3	54	116	-11.7	-81.6	53.7	105
71	2	0.000411	3.39	3.35	34.3	50.7	46.4	35.9	49	46.6	96.5	34.3	50.7	46.4	90.8
70	2	0.000447	3.35	3.32	5.89	-58.2	77.4	5.87	-59.8	77.7	414	5.89	-58.2	77.4	327
