Cluster Index	Z	P	-log10(P)	x	y	z	
51	3.29	0.000506	3.3	-59.6	-75.6	-2.48
50	3.13	0.000878	3.06	-62.8	-47.7	-18.6
49	3.17	0.000751	3.12	-6.76	1.98	73
48	3.3	0.000483	3.32	3.94	-81.7	-54.1
47	3.26	0.00055	3.26	10.7	46.5	59.1
46	3.2	0.000686	3.16	-51.1	-23.8	73.1
45	3.35	0.000409	3.39	55.4	-41.3	-45.6
44	3.88	5.33e-05	4.27	-55.6	4.41	-50.4
43	3.43	0.000305	3.52	-27.9	-54	77.7
42	3.19	0.0007	3.15	21	-97.6	-23.5
41	4.3	8.63e-06	5.06	-25	-76.2	64.5
40	3.52	0.00022	3.66	-33.1	-96.1	-22.3
39	3.28	0.000517	3.29	-45.9	-43.3	-31.1
38	3.23	0.000609	3.22	-40.3	30.7	57.6
37	3.11	0.000946	3.02	59	-42.2	-28.6
36	3.94	4.14e-05	4.38	47.5	25	56.1
35	3.72	0.0001	4	-37.2	14.2	60.4
34	3.16	0.000782	3.11	-20.4	3.95	61.7
33	3.22	0.000639	3.19	9.46	-39.5	68.4
32	3.46	0.000271	3.57	-19.6	-96.5	-22.6
31	3.36	0.000396	3.4	16.9	57.5	0.457
30	3.6	0.000161	3.79	44.1	66.6	-1.89
29	4.01	3.08e-05	4.51	-0.602	12.2	8.85
28	3.39	0.000343	3.46	-26.9	68.6	-0.225
27	3.19	0.000713	3.15	76.5	-39.2	15.6
26	3.09	0.000988	3.01	15.5	-44	18.2
25	3.65	0.000129	3.89	-32.2	-72.1	24.4
24	3.34	0.000414	3.38	38.7	-89.7	31.1
23	3.4	0.000332	3.48	6.08	11.1	3.18
22	3.39	0.000349	3.46	-61.9	-13.2	9.34
21	3.22	0.000633	3.2	76.5	-33.5	8.94
20	3.34	0.00042	3.38	76.7	-28.5	19.4
19	3.41	0.00032	3.49	30.6	58.8	11.1
18	3.45	0.000275	3.56	20.7	75.5	8.53
17	3.39	0.000355	3.45	-58.6	-56.5	56.4
16	3.09	0.000989	3	-45.2	-52.8	38.4
15	3.12	0.000913	3.04	-65.6	-30.3	6.77
14	3.25	0.000568	3.25	-75.8	-33.3	7.57
13	3.21	0.000669	3.17	9.87	20.9	24
12	3.18	0.000728	3.14	20.4	41.1	25.8
11	3.24	0.000597	3.22	32.3	-79.5	52.1
10	3.11	0.000927	3.03	43.5	40.3	-19.9
9	3.44	0.000287	3.54	-37.9	26.2	-15.2
8	3.13	0.000865	3.06	14.5	-99.7	5.27
7	3.32	0.000448	3.35	-71.7	-20.9	44.9
6	3.5	0.000233	3.63	19.6	-16.9	41.6
5	3.35	0.0004	3.4	-21.6	-67.3	57.2
4	3.75	8.93e-05	4.05	39.6	-46.1	51.8
3	3.31	0.000464	3.33	-68.2	-13.6	49.2
2	3.19	0.00071	3.15	-72.6	-32.6	-9.59
1	4.16	1.59e-05	4.8	18.5	-90.7	43.2
