Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
57	1	3.1	-22.4	-70.9	-10	-22.4	-70.9	-10	323	-22.4	-70.9	-10	323
56	1	3.15	9.42	-37	62.3	9.42	-37	62.3	300	9.42	-37	62.3	300
55	1	3.26	53.1	-54.7	64.2	53.1	-54.7	64.2	229	53.1	-54.7	64.2	229
54	1	3.22	-45.1	5.07	-22.6	-45.1	5.07	-22.6	325	-45.1	5.07	-22.6	325
53	1	3.21	-30.9	-19.5	60.4	-30.9	-19.5	60.4	216	-30.9	-19.5	60.4	216
52	1	3.14	10.6	48.1	47.5	10.6	48.1	47.5	388	10.6	48.1	47.5	388
51	1	3.31	62.4	-39	-29.3	62.4	-39	-29.3	209	62.4	-39	-29.3	209
50	1	3.15	23.3	-16.9	64.1	23.3	-16.9	64.1	159	23.3	-16.9	64.1	159
49	1	3.34	24.8	-68.2	-28.8	24.8	-68.2	-28.8	319	24.8	-68.2	-28.8	319
48	1	3.13	35.9	9.22	-48.2	35.9	9.22	-48.2	560	35.9	9.22	-48.2	560
47	1	3.78	59.5	2	-47.6	59.5	2	-47.6	198	59.5	2	-47.6	198
46	1	3.17	16	-61.7	77.8	16	-61.7	77.8	410	16	-61.7	77.8	410
45	1	3.28	28.8	-13.5	-44.1	28.8	-13.5	-44.1	252	28.8	-13.5	-44.1	252
44	1	3.1	-17.8	-60.8	78.6	-17.8	-60.8	78.6	288	-17.8	-60.8	78.6	288
43	1	3.44	43.2	-49.4	74.8	43.2	-49.4	74.8	321	43.2	-49.4	74.8	321
42	1	3.24	45.4	-34.5	-46.5	45.4	-34.5	-46.5	198	45.4	-34.5	-46.5	198
41	1	3.22	-14.2	-44.5	75.6	-14.2	-44.5	75.6	204	-14.2	-44.5	75.6	204
40	1	3.45	3.94	-81.7	-54.1	3.94	-81.7	-54.1	273	3.94	-81.7	-54.1	273
39	1	3.49	20.7	39.7	60	20.7	39.7	60	257	20.7	39.7	60	257
38	1	3.16	62.7	-10.4	-39.9	62.7	-10.4	-39.9	170	62.7	-10.4	-39.9	170
37	1	3.47	70.2	2.75	2.82	70.2	2.75	2.82	196	70.2	2.75	2.82	196
36	1	3.14	-47.4	55.2	-2.97	-47.4	55.2	-2.97	340	-47.4	55.2	-2.97	340
35	1	3.37	8.97	-50.2	42	8.97	-50.2	42	242	8.97	-50.2	42	242
34	1	3.17	-28.7	-81.9	48.6	-28.7	-81.9	48.6	338	-28.7	-81.9	48.6	338
33	1	3.2	59.3	-61.6	20	59.3	-61.6	20	291	59.3	-61.6	20	291
32	1	3.13	8.44	-89.5	48.9	8.44	-89.5	48.9	345	8.44	-89.5	48.9	345
31	1	4.2	73.3	-22.7	12.8	73.3	-22.7	12.8	254	73.3	-22.7	12.8	254
30	1	3.78	-0.602	12.2	8.85	-0.602	12.2	8.85	1.01e+03	-0.602	12.2	8.85	1.01e+03
29	1	3.7	2.51	12	-13.8	2.51	12	-13.8	473	2.51	12	-13.8	473
28	1	3.12	44.3	68.3	9.12	44.3	68.3	9.12	144	44.3	68.3	9.12	144
27	1	3.42	-26.9	68.6	-0.225	-26.9	68.6	-0.225	172	-26.9	68.6	-0.225	172
26	1	3.21	3.16	30.1	16.9	3.16	30.1	16.9	310	3.16	30.1	16.9	310
25	1	3.27	23.6	48.3	7.52	23.6	48.3	7.52	265	23.6	48.3	7.52	265
24	1	3.49	-12	-93.9	38.9	-12	-93.9	38.9	370	-12	-93.9	38.9	370
23	1	3.34	25.3	-81.9	35.8	25.3	-81.9	35.8	349	25.3	-81.9	35.8	349
22	1	3.12	33	-16.6	24.2	33	-16.6	24.2	129	33	-16.6	24.2	129
21	1	3.15	45.9	-59.5	31.3	45.9	-59.5	31.3	194	45.9	-59.5	31.3	194
20	1	3.21	3.74	72.7	9.5	3.74	72.7	9.5	350	3.74	72.7	9.5	350
19	1	3.21	-14.2	-25	49.6	-14.2	-25	49.6	250	-14.2	-25	49.6	250
18	1	4	70.2	-33.9	48.8	70.2	-33.9	48.8	191	70.2	-33.9	48.8	191
17	1	3.26	39.6	-46.1	51.8	39.6	-46.1	51.8	303	39.6	-46.1	51.8	303
16	1	3.41	29.6	11.2	-14.5	29.6	11.2	-14.5	259	29.6	11.2	-14.5	259
15	1	3.33	53.4	23.6	-17.3	53.4	23.6	-17.3	588	53.4	23.6	-17.3	588
14	1	3.32	56.5	-46.6	51.4	56.5	-46.6	51.4	253	56.5	-46.6	51.4	253
13	1	3.13	-14.7	-57.7	55.3	-14.7	-57.7	55.3	237	-14.7	-57.7	55.3	237
12	1	3.25	27.6	71.3	26	27.6	71.3	26	170	27.6	71.3	26	170
11	1	3.2	-28.2	-49.2	42.9	-28.2	-49.2	42.9	251	-28.2	-49.2	42.9	251
10	1	3.21	19.7	-10.4	40.5	19.7	-10.4	40.5	157	19.7	-10.4	40.5	157
9	1	3.36	-36.8	69	22.6	-36.8	69	22.6	155	-36.8	69	22.6	155
8	1	3.21	59.9	-1.92	-7.38	59.9	-1.92	-7.38	207	59.9	-1.92	-7.38	207
7	1	3.4	-25	-28.2	5.24	-25	-28.2	5.24	169	-25	-28.2	5.24	169
6	1	3.12	23.2	1.76	32.6	23.2	1.76	32.6	158	23.2	1.76	32.6	158
5	1	3.2	-10.6	33.7	-5.92	-10.6	33.7	-5.92	274	-10.6	33.7	-5.92	274
4	1	3.43	57.2	48.1	-10.4	57.2	48.1	-10.4	289	57.2	48.1	-10.4	289
3	1	3.16	40.5	58.4	-11.7	40.5	58.4	-11.7	244	40.5	58.4	-11.7	244
2	1	3.15	46.2	-48	40.6	46.2	-48	40.6	174	46.2	-48	40.6	174
1	1	3.1	-53.9	44.1	33.1	-53.9	44.1	33.1	170	-53.9	44.1	33.1	170
