Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
93	3	3.87	57.1	-4.06	44	58.2	-4.34	42.3	123	60.5	-4.16	43.9	102
92	3	3.37	-62.5	-41.9	-2.61	-59.2	-42	-2.69	131	-62.5	-41.9	-2.61	118
91	3	3.15	20.6	32.3	55.6	20.5	32	53.8	228	17.1	29.1	56.3	193
90	3	3.45	34.3	50.7	46.4	34.4	50.6	46.4	102	34.3	50.7	46.4	87.9
89	3	3.53	46.3	22.9	-45.2	44.1	26.1	-45.7	184	42.9	26.2	-45.7	168
88	3	4.51	-18	-68.2	74.2	-14.8	-68.3	74.1	118	-18	-68.2	74.2	105
87	3	3.73	-72.4	-19.5	-11.9	-71.3	-18.4	-12.1	113	-69	-19.6	-12	82.2
86	3	3.39	-27.5	5.63	27.7	-25.3	5.83	29.4	65	-24.2	5.53	27.6	61.7
85	3	3.69	-36.8	68.1	17.1	-34.7	67	17.2	132	-33.5	64.8	17.6	92.3
84	3	3.51	76.6	-7.36	-18.2	75.5	-6.01	-16.6	106	73.3	-6.42	-12.6	74.1
83	3	3.45	5.89	-58.2	77.4	4.78	-60.3	77.8	437	5.89	-58.2	77.4	296
82	2	4.41	27.6	-99.5	-34.7	25.9	-99.4	-34.7	165	24.2	-99.4	-34.6	147
81	2	3.72	-33.1	-96.1	-22.3	-31.6	-96.1	-22.3	105	-33.1	-96.1	-22.3	93.5
80	2	3.55	6.21	40.5	-24.5	6.18	38.9	-24.3	299	6.21	40.5	-24.5	226
79	2	3.22	12.5	-12	7.02	10.9	-10.3	6.78	87.4	12.5	-12	7.02	86.5
78	2	3.7	-61.9	-13.2	9.34	-63.5	-13.1	9.38	123	-65.3	-13.1	9.42	114
77	2	3.51	-62.3	-42.6	14.5	-62.3	-41	14.2	127	-62.3	-42.6	14.5	123
