Cluster Index	Z	x	y	z	
27	3.47	-17.4	11	20.8
26	3.1	-10.9	-8.79	24.1
25	3.51	5.25	-64.9	33.4
24	3.15	-51.2	20.1	8.89
23	3.1	-16.8	68.3	-0.463
22	3.25	-30.9	13.9	15.1
21	3.1	56.3	-37.7	21.6
20	3.12	-28.7	-68.1	29.3
19	3.21	53.7	18.9	17.4
18	3.19	-75.7	-12.9	-12.9
17	3.14	-72.2	-6.42	-14.2
16	3.11	-24.5	21.7	-20.4
15	3.54	-43.7	56.1	25
14	3.18	-27.5	3.2	33.8
13	3.16	-41.8	-52.1	43.8
12	3.23	42	-71	-0.499
11	3.26	-56.1	-68.3	1.8
10	3.16	63.8	9.59	24.4
9	3.16	13.6	50.3	18.8
8	3.18	-52.2	-34.8	1.52
7	3.2	30.5	49.8	18.4
6	3.46	9.78	14.4	25.1
5	3.22	15.3	-55.5	8.86
4	3.16	12.2	-32.5	4.94
3	4.51	1.23	-96.8	22.1
2	3.14	52.3	-75.4	16.9
1	3.8	-13.3	60.9	17.7
