Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)
79	1	3.18	25.4	-24.8	-30.7	25.4	-24.8	-30.7
78	1	3.21	55.4	-41.3	-45.6	55.4	-41.3	-45.6
77	1	3.35	-25.9	-83.1	-2.13	-25.9	-83.1	-2.13
76	1	3.41	38.5	-40.8	-45.2	38.5	-40.8	-45.2
75	1	3.66	-44.5	44.4	-29.4	-44.5	44.4	-29.4
74	1	3.52	53.3	28.5	-29.4	53.3	28.5	-29.4
73	1	3.66	-55.6	4.41	-50.4	-55.6	4.41	-50.4
72	1	3.29	19	3.99	-41.2	19	3.99	-41.2
71	1	3.72	-39.2	-57.3	-11.9	-39.2	-57.3	-11.9
70	1	3.39	-65.2	15.5	-23.8	-65.2	15.5	-23.8
69	1	3.16	-18.2	-0.661	-33.7	-18.2	-0.661	-33.7
68	1	3.14	-48.7	10.8	-51.7	-48.7	10.8	-51.7
67	1	3.18	-72.5	-8.95	-30.7	-72.5	-8.95	-30.7
66	1	3.53	-52.4	-14.5	-41.6	-52.4	-14.5	-41.6
65	1	3.39	12.1	-8.07	-33.2	12.1	-8.07	-33.2
64	1	3.54	-33.1	-96.1	-22.3	-33.1	-96.1	-22.3
63	1	3.27	-3.97	43.2	-30.4	-3.97	43.2	-30.4
62	1	3.31	-71.7	-20.9	44.9	-71.7	-20.9	44.9
61	1	3.28	19.6	-16.9	41.6	19.6	-16.9	41.6
60	1	3.29	67.5	24.3	33.1	67.5	24.3	33.1
59	1	3.51	25.7	-75.2	57.2	25.7	-75.2	57.2
58	1	3.31	-58.6	-56.5	56.4	-58.6	-56.5	56.4
57	1	3.18	-17.9	-44.5	53.1	-17.9	-44.5	53.1
56	1	3.14	-68.2	-13.6	49.2	-68.2	-13.6	49.2
55	1	3.3	-57.5	25.4	42.1	-57.5	25.4	42.1
54	1	3.16	-23.2	63.7	34.4	-23.2	63.7	34.4
53	1	4.37	-25	-76.2	64.5	-25	-76.2	64.5
52	1	3.11	-31	-20.4	54.9	-31	-20.4	54.9
51	1	3.84	-47.2	35.8	45.6	-47.2	35.8	45.6
50	1	3.24	20.8	60	39.5	20.8	60	39.5
49	1	3.25	-10.6	-20.1	60	-10.6	-20.1	60
48	1	3.11	15.5	-44	18.2	15.5	-44	18.2
47	1	3.67	-37.2	14.2	60.4	-37.2	14.2	60.4
46	1	3.67	40	-36.2	72.6	40	-36.2	72.6
45	1	3.12	30	-29.4	71.7	30	-29.4	71.7
44	1	3.11	-51.1	-23.8	73.1	-51.1	-23.8	73.1
43	1	3.64	33.5	-16.4	69.4	33.5	-16.4	69.4
42	1	3.4	-9.82	30.7	62.4	-9.82	30.7	62.4
41	1	3.25	-3.01	33.8	61.7	-3.01	33.8	61.7
40	1	3.18	10.7	46.5	59.1	10.7	46.5	59.1
39	1	3.97	12.8	-54.3	82.2	12.8	-54.3	82.2
38	1	3.16	43.9	-6.01	72.9	43.9	-6.01	72.9
37	1	3.12	3.83	34.4	67	3.83	34.4	67
36	1	3.43	9.74	-33.7	84.4	9.74	-33.7	84.4
35	1	3.24	-3.61	-20.2	82.4	-3.61	-20.2	82.4
34	1	3.26	13.3	-26.4	88.7	13.3	-26.4	88.7
33	1	3.64	6.57	-22.9	88.2	6.57	-22.9	88.2
32	1	3.45	24.1	51	46.6	24.1	51	46.6
31	1	3.33	76.6	-7.36	-18.2	76.6	-7.36	-18.2
30	1	3.52	-72.1	0.127	-15.3	-72.1	0.127	-15.3
29	1	3.18	-62.5	-41.9	-2.61	-62.5	-41.9	-2.61
28	1	3.14	-61.9	-2.59	-9.46	-61.9	-2.59	-9.46
27	1	3.21	73.4	0.127	-13.8	73.4	0.127	-13.8
26	1	3.11	43.5	40.3	-19.9	43.5	40.3	-19.9
25	1	3.46	1.12	-95.2	10.5	1.12	-95.2	10.5
24	1	4.05	-32.1	-48.5	3.32	-32.1	-48.5	3.32
23	1	3.12	-15.1	-45.7	2.36	-15.1	-45.7	2.36
22	1	3.55	69.4	-53.8	7.02	69.4	-53.8	7.02
21	1	3.18	-30.5	60.4	-10	-30.5	60.4	-10
20	1	3.17	76.5	-33.5	8.94	76.5	-33.5	8.94
19	1	3.12	-24.6	-4.39	6.75	-24.6	-4.39	6.75
18	1	3.1	-21.1	2.06	5.53	-21.1	2.06	5.53
17	1	3.42	-17.9	-38.8	46.5	-17.9	-38.8	46.5
16	1	3.65	-32.2	-72.1	24.4	-32.2	-72.1	24.4
15	1	3.87	-0.602	12.2	8.85	-0.602	12.2	8.85
14	1	3.09	54	46.6	1.3	54	46.6	1.3
13	1	3.31	16.9	57.5	0.457	16.9	57.5	0.457
12	1	3.36	44.1	66.6	-1.89	44.1	66.6	-1.89
11	1	3.22	76.7	-28.5	19.4	76.7	-28.5	19.4
10	1	3.86	6.24	12.8	14.2	6.24	12.8	14.2
9	1	3.28	-37.5	27.1	12.9	-37.5	27.1	12.9
8	1	3.13	-10	59.1	6.6	-10	59.1	6.6
7	1	3.34	20.7	75.5	8.53	20.7	75.5	8.53
6	1	4.06	18.5	-90.7	43.2	18.5	-90.7	43.2
5	1	3.2	-27.5	5.63	27.7	-27.5	5.63	27.7
4	1	3.18	9.87	20.9	24	9.87	20.9	24
3	1	3.25	-17.8	-29.8	39.3	-17.8	-29.8	39.3
2	1	3.29	67.3	10.3	29.8	67.3	10.3	29.8
1	1	3.2	6.08	11.1	3.18	6.08	11.1	3.18
